Company Name,Industry,Address,City,State,ZIP,Contact First Name,Contact Middle Initial,Contact Last Name,Phone,Birthdate,Email,Account Code,National ID,Creation Date,Modify Date,Demo Reference
Susan Walcott,Marriage & Family Counselors,738 N 5th Ave,tUCSON,Arizona,85705-8478,Susan,,Walcott,(185) 629-8675,04/07/1978,swalcott@susanwalcott.com,<8675-8478/Wal>,523-90-9816,08/21/97,10/30/07,
Richmond R-Xvi School District,"Elementary and secondary schools, nec",749 Driskill Dr,rICHMOND,MO,64085-2202,James,,Robins,(764) 000-6560,18/09/1972,jrobins@richmondr-xvischooldistrict.com,<6560-2202/Rob>,788-75-4963,07/10/06,07/10/01,
Kimberly-Clark,Paper mill,750 E Ohio St Ste 3,tUCSON,Arizona,85714-3316,Manny,,Saavedra,(805) 049-7790,31/01/1976,msaavedra@kimberly-clark.com,<7790-3316/Saa>,103-42-1582,03/20/00,05/29/10,
Hessonic,"Electrical equipment and supplies, nec",751 Majestic Dr,wASHINGTON,Utah,84780-2185,James,,Hesson,(507) 836-5255,21/02/1969,jhesson@hessonic.com,<5255-2185/Hes>,339-26-1495,02/06/09,02/07/04,
IKM High School,Schools,755 Main St,mANILLA,IA,51454-0000,Brian,,Wall,(925) 331-6380,22/03/1972,bwall@ikmhighschool.com,<6380-0000/Wal>,709-08-4853,10/18/02,10/18/97,
Acme Sales Inc,Packaging Materials-Manufacturers,760 Longleaf Blvd # B,lAWRENCEVILLE,GA,30045-8443,Henry,,Autler,(219) 070-6743,20/03/1973,hautler@acmesalesinc.com,<6743-8443/Aut>,127-62-5280,06/28/96,09/06/06,
Seasons Gorrmet Catering,Caterers,7601 E Gray Rd # H,sCOTTSDALE,Arizona,85260-6974,Karen,,Korf,(146) 262-2237,17/11/1960,kkorf@seasonsgorrmetcatering.com,<2237-6974/Kor>,723-55-4262,05/17/05,05/17/00,
Paradise Pacific,Apartments,77 W Coolidge St,pHOENIX,Arizona,85013-2751,Brent,,Nelson,(795) 705-7627,21/08/1975,bnelson@paradisepacific.com,<7627-2751/Nel>,47-41-0429,01/26/99,04/05/09,
Larz,Beauty shops,7730 Bonhomme Ave,sAINT LOUIS,MO,63105-1909,Larry,,Wilson,(410) 283-4547,16/03/1967,lwilson@larz.com,<4547-1909/Wil>,916-76-1085,12/15/07,12/15/02,
Torrey Gallery,Art Galleries & Dealers,80 E Main St,tORREY,Utah,84775-0000,Larry,,Bagley,(924) 576-3434,27/02/1964,lbagley@torreygallery.com,<3434-0000/Bag>,507-67-2785,08/25/01,11/03/11,
Country Corner Cafe,Restaurants,80 N Main St,pANGUITCH,Utah,84759-0000,Brian,,Foy,(468) 851-9067,31/07/1979,bfoy@countrycornercafe.com,<9067-0000/Foy>,419-04-1196,05/06/95,07/14/05,
Byles WW,Building Maintenance,801 Broadway,nASHVILLE,TN,37203-3816,Henry,,Salters,(910) 908-6241,04/11/1971,hsalters@bylesww.com,<6241-3816/Sal>,174-68-4538,03/24/04,03/25/99,
Csl Inc,"Lawn and garden services, nec",801 S Power Rd,mESA,Arizona,85206-5207,Cheri,,Smith,(142) 520-1310,05/05/1958,csmith@cslinc.com,<1310-5207/Smi>,149-67-2704,12/03/97,02/11/08,
Advanced Dental Concepts,Dentists,801 S Power Rd # 104,mESA,Arizona,85206-5222,Kelly,,Smith,(802) 293-5750,01/07/1970,ksmith@advanceddentalconcepts.com,<5750-5222/Smi>,933-90-1048,10/22/06,10/22/01,
Safeway,Food Markets,8021 N 35th Ave,pHOENIX,Arizona,85051-5867,Frank,,Omeara,(235) 360-9360,19/05/1980,fomeara@safeway.com,<9360-5867/Ome>,199-03-8917,07/02/00,09/10/10,
Mc Cormack Baron Salazar Inc,Real Estate Developers,808 S 7th Ave,pHOENIX,Arizona,85007-3601,David,,Adame,(683) 654-8328,22/07/1977,dadame@mccormackbaronsalazarinc.com,<8328-3601/Ada>,317-42-4121,05/21/09,05/21/04,
Color Made Cstm A St Pnt & Bdy,Automobile Restoration-Antique & Classic,810 N A St,bACHE,OK,74501-4006,David,,Travis,(232) 876-0797,08/12/1956,dtravis@colormadecstmastpnt&bdy.com,<0797-4006/Tra>,410-88-6141,01/30/03,01/30/98,
Ogp Energy Companies Inc,"Holding companies, nec",8140 Walnut Hill Ln # 508,dALLAS,TX,75231-4336,David,,Burns,(815) 911-4196,30/03/1966,dburns@ogpenergycompaniesinc.com,<4196-4336/Bur>,411-92-1638,10/10/96,12/19/06,
Ingersoll-Rand,Wholesaler of industrial supplies,820 N 17th Ave,pHOENIX,Arizona,85007-2209,Cliff,,Dahl,(300) 967-3822,21/03/1965,cdahl@ingersoll-rand.com,<3822-2209/Dah>,73-81-6597,08/29/05,08/29/00,
WYLD Hair Station,Beauty Salons,824 E Yeso Dr,hOBBS,NM,88240-4117,Myrna,,Cobb,(393) 236-3422,15/02/1964,mcobb@wyldhairstation.com,<3422-4117/Cob>,477-50-8437,05/10/99,07/18/09,
CVS Pharmacy,Pharmacies,8245 W Thomas Rd,pHOENIX,Arizona,85033-4722,James,,Reimold,(832) 173-1830,07/10/1959,jreimold@cvspharmacy.com,<1830-4722/Rei>,703-84-0439,03/28/08,03/29/03,
Danny's Airless Equipment Inc,Painters Equipment & Supplies (Whol),830 Mapunapuna St,hONOLULU,HI,96819-2049,Danny,,Aiu,(438) 926-8249,04/05/1977,daiu@danny'sairlessequipmentinc.com,<8249-2049/Aiu>,948-02-8003,12/07/01,02/15/12,
Walgreens,"Drug stores and proprietary stores, nec",8301 W Camelback Rd,pHOENIX,Arizona,85037-1257,Wally,,Chmilel,(645) 427-1517,28/11/1958,wchmilel@walgreens.com,<1517-1257/Chm>,54-89-1245,08/18/95,10/26/05,
A-24/7 Limousine Svc,Limousine Service,8324 E Fond Du Lac Dr,tUCSON,Arizona,,Scott,,Dewitt,(613) 166-2702,25/02/1962,sdewitt@a-24/7limousinesvc.com,<2702-/Dew>,657-04-5097,07/06/04,07/07/99,
China King,Luaus,844 E Saint George Blvd,sT GEORGE,Utah,,Yeang,,Peng,(414) 942-7777,18/01/1976,ypeng@chinaking.com,<7777-/Pen>,32-39-2527,03/17/98,05/25/08,
Shej's Florist,Florists-Retail,846 River St,pATERSON,NJ,,Ikmet,,Shej,(976) 672-0090,01/01/1955,ishej@shej'sflorist.com,<0090-/She>,549-27-8324,02/03/07,02/03/02,
Electric Sun Inc,Tanning Salons,8471 Beverly Blvd,lOS ANGELES,CA,,Brian,,Heberling,(890) 561-0707,09/09/1956,bheberling@electricsuninc.com,<0707-/Heb>,15-51-7933,10/14/00,12/23/10,
Bungalow On Melrose Place,Beauty Salons,8473 Melrose Pl,lOS ANGELES,CA,,James,,Genesta,(628) 836-1363,27/06/1958,jgenesta@bungalowonmelroseplace.com,<1363-/Gen>,858-39-7817,09/02/09,09/02/04,
Datanet,Computer Programming Services,84-740 Kili Dr APT 821,wAIANAE,HI,,Brian,,Main,(964) 660-1737,06/07/1959,bmain@datanet.com,<1737-/Mai>,400-86-8005,05/14/03,05/14/98,
Nobles Appliance Repair,Appliances-Household-Major-Repairing,8475 Highway 87 N,mILTON,FL,,Lamar,,Nobles,(380) 091-7716,18/11/1975,lnobles@noblesappliancerepair.com,<7716-/Nob>,223-58-8449,01/22/97,04/02/07,
Administar Services Group,Computers-System Designers & Consultants,8475 Western Way,jACKSONVILLE,FL,,David,,Leininger,(672) 671-1237,21/02/1958,dleininger@administarservicesgroup.com,<1237-/Lei>,138-91-6686,12/11/05,12/11/00,
Larson Construction Co Inc,Excavation contractor,85029 Highway 101,sEASIDE,OR,,David,,Larson,(227) 325-4287,29/06/1966,dlarson@larsonconstructioncoinc.com,<4287-/Lar>,84-21-7535,08/22/99,10/30/09,
Wenaha Wildlife Area,Federal Government-Conservation Depts,85060 Grand Ronde Rd,eNTERPRISE,OR,,David,,Harcombe,(123) 062-7290,18/09/1974,dharcombe@wenahawildlifearea.com,<7290-/Har>,814-11-8089,07/10/08,07/11/03,
Darby Homes Inc,Patio & Deck Builders,8540 E Mcdowell Rd # 92,mESA,Arizona,,Steve,,Darby,(870) 439-8416,18/10/1977,sdarby@darbyhomesinc.com,<8416-/Dar>,979-83-6102,03/21/02,05/29/12,
K & G Mens Company Inc,Men's and boys' clothing stores,8601 Sheridan Blvd,aRVADA,Colorado,,Glenn,,Rosencrazt,(460) 059-3030,19/01/1963,grosencrazt@k&gmenscompanyinc.com,<3030-/Ros>,277-31-0006,11/30/95,02/07/06,
Copper Star Concrete,Concrete contractor,863 Royal Sceptor Way,wASHINGTON,Utah,,Steve,,Wood,(198) 965-7227,17/07/1974,swood@copperstarconcrete.com,<7227-/Woo>,337-47-7310,10/18/04,10/19/99,
Marie Callenders Pie Shops,Eating places,865 S Dobson Rd,mESA,Arizona,85202-2901,Karen,,Miles,(555) 253-6240,03/11/1971,kmiles@mariecallenderspieshops.com,<6240-2901/Mil>,277-58-3477,06/29/98,09/06/08,
Zion Park Gift & Deli,Gift Shops,866 Zion Park Blvd,sPRINGDALE,Utah,84767-0000,Byron,,Stanfeld,(324) 549-3681,31/10/1964,bstanfeld@zionparkgift&deli.com,<3681-0000/Sta>,827-97-7762,05/18/07,05/18/02,
Hbh of Vancouver Inc,Eating places,8700 Ne Vancouver Mall Dr,vANCOUVER,WA,98662-6750,Robin,,Robinson,(863) 055-1878,24/11/1959,rrobinson@hbhofvancouverinc.com,<1878-6750/Rob>,432-51-9930,01/26/01,04/06/11,
Miriam Grn Antqrn Bk Shp/Gllry,Electric Motors-Used,88 E Main St,cLINTON,CT,06413-2110,Susan,,Alon,(819) 364-5044,25/07/1968,salon@miriamgrnantqrnbkshp/gllry.com,<5044-2110/Alo>,621-51-1471,12/15/09,12/15/04,
Parry Lodge Motor Hotel,Hotels & Motels,89 E Center St,kANAB,Utah,84741-3543,Brian,A,Palmer,(427) 904-7868,18/04/1976,bpalmer@parrylodgemotorhotel.com,<7868-3543/Pal>,797-36-5991,08/26/03,08/26/98,
Affymetrix Inc,Laboratories-Research & Development,890 Embarcadero Dr,bRODERICK,CA,95605-1503,Steve,B,Karas,(754) 672-0064,06/12/1954,skaras@affymetrixinc.com,<0064-1503/Kar>,779-17-9763,05/06/97,07/15/07,
A Stitch In Time,Business Services Nec,891 N 120 E 267,hURRICANE,Utah,84737-1714,Candy,D,Heywood,(116) 985-7022,24/12/1973,cheywood@astitchintime.com,<7022-1714/Hey>,606-58-9896,03/25/06,03/25/01,
Waynes Landscaping & Tree Svc,"Lawn and garden services, nec",8924 W Montecito Ave,pHOENIX,Arizona,85037-1727,Wayne,W,Tallent,(234) 972-1878,24/11/1959,wtallent@wayneslandscaping&treesvc.com,<1878-1727/Tal>,940-05-9509,12/04/99,02/11/10,
Zephrus Restaurant,Restaurants,9 Main St,vINEYARD HAVEN,MA,02568-5400,Susie,S,Goldstein,(485) 314-0632,26/06/1956,sgoldstein@zephrusrestaurant.com,<0632-5400/Gol>,380-30-8901,10/22/08,10/23/03,
Bayada Nurses,Home Health Service,9009 J M Keynes Dr,cHARLOTTE,NC,28262-8474,Julie,J,Simpson,(823) 804-5895,23/11/1970,jsimpson@bayadanurses.com,<5895-8474/Sim>,845-96-5288,07/03/02,09/10/12,
N U Way Realty,Real Estate,9014 W Thomas Rd,pHOENIX,Arizona,85037-3474,Anita,Y,Woodbury,(578) 335-7921,10/06/1976,awoodbury@nuwayrealty.com,<7921-3474/Woo>,801-81-1647,03/13/96,05/22/06,
Southwest Mobile Storage,Storage-Household & Commercial,902 S 7th St,pHOENIX,Arizona,85034-4004,Damon,D,Jacobson,(701) 007-3645,25/09/1964,djacobson@southwestmobilestorage.com,<3645-4004/Jac>,297-31-5314,01/30/05,01/31/00,
Albertsons,Grocers-Retail,905 S Main St,cEDAR CITY,Utah,84720-3726,Arlan,S,Fillerup,(705) 263-3682,01/11/1964,afillerup@albertsons.com,<3682-3726/Fil>,34-08-7024,10/11/98,12/19/08,
Solid Masonry Inc,Masonry contractor,912 N 111th St,mESA,Arizona,85207-1611,David,E,Todd,(878) 815-4299,11/07/1966,dtodd@solidmasonryinc.com,<4299-1611/Tod>,104-23-7925,08/30/07,08/30/02,
Region 10,Educational programs,915 2nd Ave Ste 3362,sEATTLE,WA,98174-1000,Donna,,Foxley,(738) 148-1655,15/04/1959,dfoxley@region10.com,<1655-1000/Fox>,20-75-5402,05/10/01,07/19/11,
Fat Cats,Bars,915 Grand Ave,pHOENIX,Arizona,85007-2511,James,,Seagrave,(263) 218-2408,07/05/1961,jseagrave@fatcats.com,<2408-2511/Sea>,697-98-2385,01/19/95,03/29/05,
First Security,National Commercial Banks,915 W Red Cliffs Dr,wASHINGTON,Utah,84780-1580,Julie,A,Hamsem,(787) 893-6454,04/06/1972,jhamsem@firstsecurity.com,<6454-1580/Ham>,767-30-7764,12/08/03,12/08/98,
Joey's Auto Sales,Automobile Dealers-Used Cars,916 N 35th Ave,pHOENIX,Arizona,85009-3327,James,B,Grayson,(275) 898-5994,02/03/1971,jgrayson@joey'sautosales.com,<5994-3327/Gra>,238-41-7320,08/18/97,10/27/07,
Flinn Farms' Bedford Feed & Sd,Feed-Dealers (Wholesale),917 17th St,bEDFORD,IN,47421-4293,David,D,Flinn,(736) 302-1582,01/02/1959,dflinn@flinnfarms'bedfordfeed&sd.com,<1582-4293/Fli>,266-30-3695,07/07/06,07/07/01,
Thomas Jefferson High School,Schools,921 W Camelback Rd,pHOENIX,Arizona,85013-2208,Derek,W,Kennard,(612) 800-6510,30/07/1972,dkennard@thomasjeffersonhighschool.com,<6510-2208/Ken>,147-33-5761,03/17/00,05/26/10,
Frank's Pizzeria,Restaurants,94 Nagle Ave,nEW YORK,NY,10040-1403,Marko,S,Gojcaj,(442) 799-3164,02/06/1963,mgojcaj@frank'spizzeria.com,<3164-1403/Goj>,589-62-4442,02/03/09,02/04/04,
Senior Citizen Ctr,Senior Citizens Service,95 N 300 W,hURRICANE,Utah,84737-2087,Linda,J,Rainey,(431) 699-6023,31/03/1971,lrainey@seniorcitizenctr.com,<6023-2087/Rai>,388-90-1272,10/15/02,10/15/97,
Andelins Gable House Inc,Hamburger & Hot Dog Stands,95 S 200 E,sT GEORGE,Utah,84770-3432,Doris,Y,Andelin,(398) 231-1033,01/08/1957,dandelin@andelinsgablehouseinc.com,<1033-3432/And>,541-68-9327,06/25/96,09/03/06,
Juz Kidz,"Children's and infants' wear stores, nec",952 Laurel St,sAINT LOUIS,MO,63112-2413,Erica,D,Gillmoor,(109) 230-1110,17/10/1957,egillmoor@juzkidz.com,<1110-2413/Gil>,651-29-1468,05/14/05,05/14/00,
LA-Rues Beauty Ctr,Beauty Salons,953 E Sahara Ave # D8,lAS VEGAS,NV,89104-3011,Cathy,S,Beatty,(319) 311-5244,10/02/1969,cbeatty@la-ruesbeautyctr.com,<5244-3011/Bea>,511-86-3386,01/23/99,04/02/09,
FDV Communications Corp,Telecommunications Services,9609 W Grant St,mILWAUKEE,WI,53227-1445,Chris,E,Scott,(270) 068-2477,15/07/1961,cscott@fdvcommunicationscorp.com,<2477-1445/Sco>,557-67-0999,12/12/07,12/12/02,
Sunshine Window Cleaning,Window Cleaning,967 Wrights Mill Rd,aIKEN,SC,29801-8471,Scott,,Fanning,(888) 362-3436,29/02/1964,sfanning@sunshinewindowcleaning.com,<3436-8471/Fan>,850-53-7928,08/22/01,10/31/11,
Jzl Enterprises LLC,Business consulting service,9854 N Highland Ter,kANSAS CITY,MO,64155-3132,Janet,,Lange,(457) 699-8935,21/03/1979,jlange@jzlenterprisesllc.com,<8935-3132/Lan>,216-48-4408,05/03/95,07/11/05,
Rocky Mountian Video,Video Tapes & Discs-Renting & Leasing,987 N Main St # 3,cEDAR CITY,Utah,84720-2151,Diana,A,Hainsworth,(810) 989-3809,08/03/1965,dhainsworth@rockymountianvideo.com,<3809-2151/Hai>,546-16-6466,03/21/04,03/22/99,
DBE Electric Corp,Electrical contractor,989 Rockaway Ave,vALLEY STREAM,NY,11581-2133,Janak,B,Shah,(105) 642-4765,20/10/1967,jshah@dbeelectriccorp.com,<4765-2133/Sha>,746-94-8463,11/30/97,02/08/08,
Mehrens & Wilemon,Attorneys,99 E Virginia Ave # 220,pHOENIX,Arizona,85004-1195,Craig,D,Mehrens,(424) 747-3560,02/07/1964,cmehrens@mehrens&wilemon.com,<3560-1195/Meh>,196-91-5687,10/19/06,10/19/01,
Ktr Performance,Nonclassified Establishments,99 Fitchburg Rd,aYER,MA,01432-1005,Scott,W,Bertz,(841) 607-8829,05/12/1978,sbertz@ktrperformance.com,<8829-1005/Ber>,850-35-5707,06/29/00,09/07/10,
Service Station Inc,Gasoline service stations,990 Buena Vista Blvd,wASHINGTON,Utah,84780-1322,Ernie,S,Athan,(692) 722-3605,16/08/1964,eathan@servicestationinc.com,<3605-1322/Ath>,70-61-5094,05/18/09,05/18/04,
Applied Industrial Tech,Pneumatic Equipment Components (Whol),990 N Rengstorff Ave,mOUNTAIN VIEW,CA,94043-1714,Huong,J,Remotigue,(719) 388-1431,03/09/1958,hremotigue@appliedindustrialtech.com,<1431-1714/Rem>,959-22-5622,01/27/03,01/27/98,
Danny Leavitt Construction,Single-family homes contractor,990 S Ross Ln,jOSEPH,Utah,84739-1150,Danny,Y,Leavitt,(946) 893-4694,10/08/1967,dleavitt@dannyleavittconstruction.com,<4694-1150/Lea>,585-38-2888,10/07/96,12/16/06,
Sinclair,Local trucking company,994 E Saint George Blvd,sT GEORGE,Utah,84770-3038,Sandy,D,Paxman,(138) 430-3595,06/08/1964,spaxman@sinclair.com,<3595-3038/Pax>,561-25-0685,08/26/05,08/26/00,
Barneys Convenience Mart,Snack Products,996 S Main St,bOWLING GREEN, Ohio,43402-4707,Terry,S,Rasler,(241) 710-4969,11/05/1968,trasler@barneysconveniencemart.com,<4969-4707/Ras>,200-70-8875,05/07/99,07/15/09,
Wvrq-Am/Fm,Radio broadcast station,E7601a County Road Ss,vIROQUA,WI,54665-8502,David,E,Robinson,(788) 210-0022,25/10/1954,drobinson@wvrq-am/fm.com,<0022-8502/Rob>,197-29-7241,03/25/08,03/26/03,
Omaha Tribe Indirect Costs,Government Offices-Indian,Main St,mACY,NE,68039-0000,Dakam,,Mohamed,(167) 673-9623,06/02/1981,dmohamed@omahatribeindirectcosts.com,<9623-0000/Moh>,21-05-3951,12/04/01,02/12/12,
Kpt Carpenters LLC,"Labor organizations, nec",N6852 Finley CT,sHAWANO,WI,54166-5972,David,,Theis,(559) 555-9123,25/09/1979,dtheis@kptcarpentersllc.com,<9123-5972/The>,358-52-8730,08/15/95,10/23/05,
Pearson Electric Inc,Electrical contractor,P O Box 435,wASHINGTON,Utah,84780-0435,David,A,Lasoff,(534) 754-9601,15/01/1981,dlasoff@pearsonelectricinc.com,<9601-0435/Las>,346-61-0757,07/03/04,07/04/99,
Iddings Quarry Inc,Stone-Crushed,RR 1,mIFFLINBURG,PA,17844-9801,David,B,Iddings,(639) 881-1723,22/06/1959,diddings@iddingsquarryinc.com,<1723-9801/Idd>,464-29-7685,03/14/98,05/22/08,
Janis' Beauty Salon & Wig Shop,Beauty Salons,RR 4,rUSK,TX,75785-9804,Janis,D,Helm,(155) 474-8763,30/09/1978,jhelm@janis'beautysalon&wigshop.com,<8763-9804/Hel>,509-66-4763,01/31/07,01/31/02,
Kdl Performance Parts & Access,Automobile Restoration-Antique & Classic,RURAL ROUTE 1 BOX 565,pOINT PLEASANT,WV,25550-9744,David,W,Bias,(177) 558-8455,26/11/1977,dbias@kdlperformanceparts&access.com,<8455-9744/Bia>,252-68-6516,10/11/00,12/20/10,
Popo's Drive Inn Restaurant,Restaurants,State Highway 9,pENDER,NE,68047-0000,Julie,S,Christiansen,(187) 440-9378,06/06/1980,jchristiansen@popo'sdriveinnrestaurant.com,<9378-0000/Chr>,510-24-1632,08/30/09,08/30/04,
Eastern National Pk & Monument,Parks,Us Highway 25 E,mIDDLESBORO,KY,40965-0000,Debby,J,Golden,(467) 601-2538,14/09/1961,dgolden@easternnationalpk&monument.com,<2538-0000/Gol>,763-74-2186,05/11/03,05/11/98,
Dan Monachino Associates,Blankets (Wholesale),1 E Butler Dr,pHOENIX,Arizona,85020-3521,Daniel,Y,Manochino,(520) 868-3318,03/11/1963,dmanochino@danmonachinoassociates.com,<3318-3521/Man>,57-64-8200,01/19/97,03/30/07,
First Watch,Restaurants,1 N 1st St # 100,pHOENIX,Arizona,85004-2358,Lauren,D,Grant,(598) 153-6142,28/07/1971,lgrant@firstwatch.com,<6142-2358/Gra>,255-49-6206,12/08/05,12/08/00,
JDV Equipment Corp,Compactors-Waste-Industrial/Coml (Mfrs),1 Princeton Ave,dOVER,NJ,07801-2514,Robert,S,Abbott,(842) 938-8184,28/02/1977,rabbott@jdvequipmentcorp.com,<8184-2514/Abb>,693-75-5805,08/19/99,10/27/09,
Philip Thoma,Automotive glass replacement service,1 Proctor Dr,pERALTA,NM,87042-8436,Philip,E,Thoma,(536) 705-4295,07/07/1966,pthoma@philipthoma.com,<4295-8436/Tho>,99-57-3123,07/07/08,07/08/03,
Honorable Carlos Mendoza,Government Offices-County,1 W Madison St,pHOENIX,Arizona,85003-2104,Carlos,,Mendoza,(834) 080-9372,31/05/1980,cmendoza@honorablecarlosmendoza.com,<9372-2104/Men>,672-21-8815,03/18/02,05/26/12,
Leland's Chevron,Service Stations-Gasoline & Oil,10 E Center St,pANGUITCH,Utah,84759-0000,Leland,,Pollock,(565) 546-0678,11/08/1956,lpollock@leland'schevron.com,<0678-0000/Pol>,38-01-6043,11/27/95,02/04/06,
Clerk's Office-Recording,Government Offices-County,10 S Oakdale Ave # 216,mEDFORD,OR,97501-3186,Cheryl,A,Avgeris,(559) 583-5707,19/05/1970,cavgeris@clerk'soffice-recording.com,<5707-3186/Avg>,899-56-9358,10/15/04,10/16/99,
US Bankruptcy Court,"Courts, nec",100 Crestwood Dr,fORT WORTH,TX,76107-1136,Zjudbe,B,Tillman,(700) 419-3381,05/01/1964,ztillman@usbankruptcycourt.com,<3381-1136/Til>,476-21-1925,06/26/98,09/03/08,
Joe's Towing Auto & Truck Rpr,Automobile Repairing & Service,100 Midstreams Rd,bRICK,NJ,08724-3730,Joseph,D,Ocello,(729) 121-5669,11/04/1970,jocello@joe'stowingauto&truckrpr.com,<5669-3730/Oce>,361-46-7822,05/15/07,05/15/02,
Umber's Bed & Breakfast,Bed & Breakfast Accommodations,100 NW 1st St,lINTON,ND,58552-7004,Janice,W,Umber,(822) 878-5753,04/07/1970,jumber@umber'sbed&breakfast.com,<5753-7004/Umb>,164-14-8611,01/23/01,04/03/11,
Century Laundry Brokers,Merchandise Brokers,1000 San Gabriel Blvd # 107,rOSEMEAD,CA,91770-4393,Voytek,S,Mizhnizki,(344) 535-6076,23/05/1971,vmizhnizki@centurylaundrybrokers.com,<6076-4393/Miz>,130-39-1958,12/12/09,12/12/04,
Herman Alcantar Law Offices,Attorneys,1001 N Central Ave # 660,pHOENIX,Arizona,85004-1961,Herman,J,Alcantar,(627) 157-6840,25/06/1973,halcantar@hermanalcantarlawoffices.com,<6840-1961/Alc>,898-61-7283,08/23/03,08/23/98,
Day Steven M CPA PC,Accountants,1001 S Joe Cir,sT GEORGE,Utah,84790-4024,Steven,Y,Day,(967) 338-1479,21/10/1958,sday@daystevenmcpapc.com,<1479-4024/Day>,134-46-9627,05/03/97,07/12/07,
Maximum FX The Hair Salon,Beauty Salons,1007 S Congress Ave,aUSTIN,TX,78704-8707,Javier,D,Herrera,(412) 180-6323,25/01/1972,jherrera@maximumfxthehairsalon.com,<6323-8707/Her>,305-60-7941,03/22/06,03/22/01,
Jrk Leasing,equipment rental/leasing service,1008 Cedar Crest Dr,cEDAR PARK,TX,78613-6716,Robert,S,McDonalds,(737) 752-7774,15/01/1976,rmcdonalds@jrkleasing.com,<7774-6716/McD>,389-26-2532,12/01/99,02/08/10,
Cargill Inc,Grain Elevators,101 7th St,lACON,IL,61540-1237,Robert,E,Bohm,(808) 546-1144,20/11/1957,rbohm@cargillinc.com,<1144-1237/Boh>,372-35-0433,10/19/08,10/20/03,
Health Services Financing Bur,State Government-Public Health Programs,101 Feu Follet Rd,lAFAYETTE,LA,70508-4294,Edward,A,Granger,(590) 968-8181,25/02/1977,egranger@healthservicesfinancingbur.com,<8181-4294/Gra>,1-40-1292,06/30/02,09/07/12,
Tushka Art Lampshade Studio,Venetian Blinds-Equipment & Supplies,101 NE 39TH ST,mIAMI,FL,33137-3631,Arthur,B,Demirci,(797) 645-7685,18/10/1975,ademirci@tushkaartlampshadestudio.com,<7685-3631/Dem>,464-25-6436,03/10/96,05/19/06,
Egen Wienberg & Assoc LLC,Legal service,101 Stage Rd,mONROE,NY,10950-3512,Thomas,D,Egan,(972) 366-5557,20/12/1969,tegan@egenwienberg&assocllc.com,<5557-3512/Ega>,679-58-9277,01/27/05,01/28/00,
Child Safety Associates,Child Guidance,102 N Lakeside Dr E,mEDFORD,NJ,08055-8472,Andrew,W,Meltzer,(450) 182-8964,19/04/1979,ameltzer@childsafetyassociates.com,<8964-8472/Mel>,903-64-8376,10/08/98,12/16/08,
Lazy 6,Eating places,102 S 1st St,lOVINGTON,NM,88260-4202,Leeann,S,Willams,(207) 667-3252,29/08/1963,lwillams@lazy6.com,<3252-4202/Wil>,973-67-6528,08/27/07,08/27/02,
Uk Shoes 2,Retailer of shoes,1021 Highland Ave,nATIONAL CITY,CA,91950-3515,Bonsun,J,Hwang,(775) 648-2088,21/06/1960,bhwang@ukshoes2.com,<2088-3515/Hwa>,642-18-2804,05/07/01,07/16/11,
E & J Farms Inc,Farms,10316 140th St,aCKLEY,IA,50601-8060,Eugene,Y,Beving,(522) 340-6975,07/11/1973,ebeving@e&jfarmsinc.com,<6975-8060/Bev>,5-19-4531,01/16/95,03/26/05,
Snap & Scrap,Scrapbook Albums & Supplies,104 Main St,mCCOMB,MS,39648-3922,Lindey,D,Magee,(271) 048-4533,02/03/1967,lmagee@snap&scrap.com,<4533-3922/Mag>,499-50-5991,12/05/03,12/05/98,
Alside Supply Ctr,Siding Materials,10441 Beaudin Blvd # 200,wOODRIDGE,IL,60517-5038,Robert,S,Pilny,(767) 483-2732,27/03/1962,rpilny@alsidesupplyctr.com,<2732-5038/Pil>,6-40-9596,08/15/97,10/24/07,
Harper Ridgeview Funeral Chpl,Funeral Directors,105 W 4th St,pORT ANGELES,WA,98362-2805,Dennis,E,Niva,(497) 574-5749,30/06/1970,dniva@harperridgeviewfuneralchpl.com,<5749-2805/Niv>,841-72-9560,07/04/06,07/04/01,
Thousand Lakes Svc,Glass-Auto Plate & Window & Etc,1050 W Highway 24,tORREY,Utah,84775-0000,Birgir,,Blondal,(140) 993-1751,20/07/1959,bblondal@thousandlakessvc.com,<1751-0000/Blo>,370-36-5094,03/14/00,05/23/10,
Nextcare,Clinics,1066 N Power Rd,mESA,Arizona,85205-5709,Carmen,,Gonzalez,(463) 002-9687,11/04/1981,cgonzalez@nextcare.com,<9687-5709/Gon>,167-76-8122,01/31/09,02/01/04,
Connie's Accounting Svc Inc,Accountants,10664 E Emerald Ave,mESA,Arizona,85208-7273,Connie,A,Delleree,(967) 059-7178,29/05/1974,cdelleree@connie'saccountingsvcinc.com,<7178-7273/Del>,128-70-1566,10/12/02,10/12/97,
Casa Ibarra,Restaurants,107 James J Freeland Mem Dr,hILLSBOROUGH,NC,27278-2595,George,B,Ibarra,(765) 608-1322,17/05/1958,gibarra@casaibarra.com,<1322-2595/Iba>,65-52-3865,06/22/96,08/31/06,
Compass Rose Ycht Charters LLC,Boat Launching,1070 Marina Village Pkwy # 1,aLAMEDA,CA,94501-1076,Elliot,D,Lum,(110) 496-1124,31/10/1957,elum@compassroseychtchartersllc.com,<1124-1076/Lum>,779-90-8672,05/11/05,05/11/00,
